Date,LT_Foods_Return,NIFTY_50_Return,Risk_Free_Rate,Market_Risk_Premium,Beta_Calculation,Adjusted_Beta
2023-02-25,0.035,0.024,0.065,0.085,1.458,1.364
2023-02-26,0.015,0.010,0.065,0.085,1.500,1.333
2023-02-27,0.025,0.017,0.065,0.085,1.471,1.333
2023-02-28,0.030,0.021,0.065,0.085,1.429,1.333
2023-03-01,0.018,0.012,0.065,0.085,1.500,1.333
2023-03-02,-0.010,-0.007,0.065,0.085,1.429,1.333
2023-03-03,0.032,0.022,0.065,0.085,1.455,1.364
2023-03-04,0.020,0.014,0.065,0.085,1.429,1.333
2023-03-05,0.028,0.019,0.065,0.085,1.474,1.368
2023-03-06,0.035,0.024,0.065,0.085,1.458,1.364
2023-03-07,-0.008,-0.005,0.065,0.085,1.600,1.400
2023-03-08,0.015,0.010,0.065,0.085,1.500,1.333
2023-03-09,0.025,0.017,0.065,0.085,1.471,1.333
2023-03-10,0.030,0.021,0.065,0.085,1.429,1.333
2023-03-11,-0.012,-0.008,0.065,0.085,1.500,1.333
2023-03-12,0.018,0.012,0.065,0.085,1.500,1.333
2023-03-13,0.032,0.022,0.065,0.085,1.455,1.364
2023-03-14,0.020,0.014,0.065,0.085,1.429,1.333
2023-03-15,0.028,0.019,0.065,0.085,1.474,1.368
2023-03-16,0.035,0.024,0.065,0.085,1.458,1.364
2023-03-17,0.015,0.010,0.065,0.085,1.500,1.333
2023-03-18,-0.010,-0.007,0.065,0.085,1.429,1.333
2023-03-19,0.025,0.017,0.065,0.085,1.471,1.333
2023-03-20,0.030,0.021,0.065,0.085,1.429,1.333
2023-03-21,0.018,0.012,0.065,0.085,1.500,1.333
2023-03-22,0.032,0.022,0.065,0.085,1.455,1.364
2023-03-23,-0.008,-0.005,0.065,0.085,1.600,1.400
2023-03-24,0.020,0.014,0.065,0.085,1.429,1.333
2023-03-25,0.028,0.019,0.065,0.085,1.474,1.368
2023-03-26,0.035,0.024,0.065,0.085,1.458,1.364
2023-03-27,0.015,0.010,0.065,0.085,1.500,1.333
2023-03-28,0.025,0.017,0.065,0.085,1.471,1.333
2023-03-29,0.030,0.021,0.065,0.085,1.429,1.333
2023-03-30,-0.012,-0.008,0.065,0.085,1.500,1.333
2023-03-31,0.018,0.012,0.065,0.085,1.500,1.333
Summary Statistics,,,,,,
Average Beta,1.467,Average Return,0.018,Volatility,0.025
Standard Deviation,0.058,Correlation,0.892,R-squared,0.796
Confidence Interval (95%),1.389-1.545,Sharpe Ratio,0.692,Maximum Drawdown,-0.018
